"","Dim.1","Dim.2","Dim.3","Dim.4"
"OMN",1.76356521834027,-4.7190525044103,0.441656478674574,9.03146699918497
"PAK",-5.1819423559384,-4.34206748736481,-0.914562428168666,-2.20791669402228
"PER",1.44173242853482,2.16376443194408,0.0116465283903784,2.41858960882541
"PHL",-2.13732531354549,-2.03792828313385,-1.07871355810317,-0.267935537997784
"PRT",8.2590779787721,2.34757272955562,-0.483093104031308,-2.83568985835505
"PRY",-1.35723400575923,0.690705494496628,-0.388379367679973,1.74218999579852
"QAT",3.46031645694623,-2.57848408680617,-5.87342740410942,12.2863495584574
"ROU",5.55461306888086,-1.15607080426242,-2.65964682125373,-2.9034735496666
"RWA",-6.69428261886506,3.2101614091234,-3.80777079161843,-0.0295616631966902
"SDN",-6.622866683275,-3.2941684269376,2.16047801027192,-3.0367659115847
"SEN",-5.96302793346748,-4.11401931036746,1.40782967848787,-2.37821983655981
"SGP",8.37735377028697,-0.10384889803155,-7.33725488383016,3.48492935540302
"SLE",-7.21460790483973,0.217901570707705,0.483060068106528,-1.13563661702231
"SLV",-0.438389298490951,-2.35763923235744,-1.00495359932852,-0.11447826429631
"SRB",5.29959052305689,-1.32163052793843,-2.06892114841899,-2.04168045611024
"SVK",5.84111982027838,-0.656011415438374,-2.70932833813459,-0.86477389958807
"SVN",8.5068160884227,1.9618218131375,-0.93232459942713,-2.11966124337495
"SWZ",-6.0817381575324,-0.935111424384089,8.64189382508306,0.7280185699017
"TCD",-11.1551903746882,2.81906585779365,-3.70043696807521,-3.00106472486703
"TGO",-6.61272737234151,2.61525152575994,-2.18813695356088,-0.266675989873667
"THA",3.61149879259724,0.150504396447403,-3.21888626692212,-1.02329029031822
"TJK",-3.57495376303039,-5.93430002711843,3.35734155056591,-2.25989671121604
"TLS",-4.96031215881332,2.36123316179519,1.26359693808682,0.499352793231236
"TUN",1.88925457814945,-5.91639590023277,3.55261003659429,-0.968325351250209
"TZA",-7.63258613023222,3.82548412021711,-3.42675465701269,-0.191777272753155
"UGA",-8.66540899873559,2.12827513629196,-1.6236030382977,-1.58538268398453
"UKR",5.42180031471291,-2.16479120802045,-0.935171287027654,-1.40154928707813
"URY",6.26774286977733,2.86915874908883,3.02194507459363,0.138886557765589
"USA",7.00393428663304,1.85580896005764,0.156193312180996,-0.881683687722684
"UZB",-0.653219459833197,-1.48057226776166,0.795499516791907,1.08904721453913
"VNM",1.15441865483962,1.36354269926912,-3.67960481631957,1.05520814512491
"ZAF",-1.68931449391417,-4.20263196912701,0.881658917450103,0.435214286808793
"ZMB",-7.42364653816138,3.41961685216456,-0.0880612514170038,0.914598243910118
"ZWE",-7.28048503356743,3.94724591677426,-0.651036314366643,0.763328645513345
