"","SAR","case"
"1",1e-06,9.99834756151285e-05
"2",0.005,9.99834756151285e-05
"3",0.01,9.99834756151285e-05
"4",0.015,9.99834756151285e-05
"5",0.02,9.99834756151285e-05
"6",0.025,9.99834756151285e-05
"7",0.03,9.99834756151285e-05
"8",0.035,9.99834756151285e-05
"9",0.04,9.99834756151285e-05
"10",0.045,9.99834756151285e-05
"11",0.05,9.99834756151285e-05
"12",0.055,9.99834756151285e-05
"13",0.06,9.99834756151285e-05
"14",0.065,9.99834756151285e-05
"15",0.07,9.99834756151285e-05
"16",0.075,9.99834756151285e-05
"17",0.08,9.99834756151285e-05
"18",0.085,9.99834756151285e-05
"19",0.09,9.99834756151285e-05
"20",0.095,9.99834756151285e-05
"21",0.1,9.99834756151285e-05
"22",0.105,9.99834756151285e-05
"23",0.11,9.99834756151285e-05
"24",0.115,9.99834756151285e-05
"25",0.12,9.99834756151285e-05
"26",0.125,9.99834756151285e-05
"27",0.13,9.99834756151285e-05
"28",0.135,9.99834756151285e-05
"29",0.14,9.99834756151285e-05
"30",0.145,9.99834756151285e-05
"31",0.15,9.99834756151285e-05
"32",0.155,9.99834756151285e-05
"33",0.16,9.99834756151285e-05
"34",0.165,9.99834756151285e-05
"35",0.17,9.99834756151285e-05
"36",0.175,9.99834756151285e-05
"37",0.18,9.99834756151285e-05
"38",0.185,9.99834756151285e-05
"39",0.19,9.99834756151285e-05
"40",0.195,9.99834756151285e-05
"41",0.2,9.99834756151285e-05
"42",0.205,9.99834756151285e-05
"43",0.21,9.99834756151285e-05
"44",0.215,9.99834756151285e-05
"45",0.22,9.99834756151285e-05
"46",0.225,9.99834756151285e-05
"47",0.23,9.99834756151285e-05
"48",0.235,9.99834756151285e-05
"49",0.24,9.99834756151285e-05
"50",0.245,9.99834756151285e-05
"51",0.25,9.99834756151285e-05
"52",0.255,9.99834756151285e-05
"53",0.26,9.99834756151285e-05
"54",0.265,9.99834756151285e-05
"55",0.27,9.99834756151285e-05
"56",0.275,9.99834756151285e-05
"57",0.28,9.99834756151285e-05
"58",0.285,9.99834756151285e-05
"59",0.29,9.99834756151285e-05
"60",0.295,9.99834756151285e-05
"61",0.3,9.99834756151285e-05
"62",0.305,9.99834756151285e-05
"63",0.31,9.99834756151285e-05
"64",0.315,9.99834756151285e-05
"65",0.32,9.99834756151285e-05
"66",0.325,9.99834756151285e-05
"67",0.33,9.99834756151285e-05
"68",0.335,9.99834756151285e-05
"69",0.34,9.99834756151285e-05
"70",0.345,9.99834756151285e-05
"71",0.35,9.99834756151285e-05
"72",0.355,9.99834756151285e-05
"73",0.36,9.99834756151285e-05
"74",0.365,9.99834756151285e-05
"75",0.37,9.99834756151285e-05
"76",0.375,9.99834756151285e-05
"77",0.38,9.99834756151285e-05
"78",0.385,9.99834756151285e-05
"79",0.39,9.99834756151285e-05
"80",0.395,9.99834756151285e-05
"81",0.4,9.99834756151285e-05
"82",0.405,9.99834756151285e-05
"83",0.41,9.99834756151285e-05
"84",0.415,9.99834756151285e-05
"85",0.42,9.99834756151285e-05
"86",0.425,9.99834756151285e-05
"87",0.43,9.99834756151285e-05
"88",0.435,9.99834756151285e-05
"89",0.44,9.99834756151285e-05
"90",0.445,9.99834756151285e-05
"91",0.45,9.99834756151285e-05
"92",0.455,9.99834756151285e-05
"93",0.46,0.00019993395868001
"94",0.465,0.000798948601762772
"95",0.47,0.00149632433713831
"96",0.475,0.00219213579614097
"97",0.48,0.00298546314845594
"98",0.485,0.00367799872882024
"99",0.49,0.00446763685115847
"100",0.495,0.00525534883116274
"101",0.5,0.00613925557197892
"102",0.505,0.00692296115402824
"103",0.51,0.00780242277716059
"104",0.515,0.00867957836424638
"105",0.52,0.00955445851878978
"106",0.525,0.0104270924191409
"107",0.53,0.0112975079556259
"108",0.535,0.012262067005486
"109",0.54,0.0131278857724968
"110",0.545,0.0140873993651173
"111",0.55,0.0150443050133461
"112",0.555,0.0159986338428929
"113",0.56,0.0169504158139326
"114",0.565,0.0179944687988474
"115",0.57,0.018940995176515
"116",0.575,0.0199793333033139
"117",0.58,0.0210147287138865
"118",0.585,0.0220472147487039
"119",0.59,0.023076823639967
"120",0.595,0.024103586581796
"121",0.6,0.0251275337936884
"122",0.605,0.0261486945781134
"123",0.61,0.0272595436462135
"124",0.615,0.028274969200068
"125",0.62,0.0293796264622889
"126",0.625,0.0304811029408735
"127",0.63,0.0315794314415544
"128",0.635,0.0326746438467369
"129",0.64,0.0337667711635058
"130",0.645,0.0348558435679028
"131",0.65,0.0359418904458607
"132",0.655,0.0371150602002572
"133",0.66,0.0381948950334224
"134",0.665,0.0393613997902692
"135",0.67,0.0404351405709039
"136",0.675,0.041595104966724
"137",0.68,0.0427517156333593
"138",0.685,0.043905003872231
"139",0.69,0.045055000237344
"140",0.695,0.0462017345673919
"141",0.7,0.0473452360158239
"142",0.705,0.0485731163148785
"143",0.71,0.0497099936477896
"144",0.715,0.050843723794107
"145",0.72,0.0520611748544925
"146",0.725,0.0531884529996941
"147",0.73,0.0543990156144289
"148",0.735,0.0556060524093157
"149",0.74,0.0568095938935096
"150",0.745,0.0580096699335138
"151",0.75,0.0591209488438448
"152",0.755,0.0603995420756216
"153",0.76,0.0615893949058998
"154",0.765,0.0627758957899517
"155",0.77,0.0639590717144558
"156",0.775,0.0651389491489338
"157",0.78,0.0663994727235261
"158",0.785,0.0675725996354762
"159",0.79,0.068825948490798
"160",0.795,0.0699924321074878
"161",0.8,0.0712387189799847
"162",0.805,0.0724813959810601
"163",0.81,0.0736379961121573
"164",0.815,0.074873774445413
"165",0.82,0.0761060251083936
"166",0.825,0.0773347751389837
"167",0.83,0.0785600510994924
"168",0.835,0.0797818790910714
"169",0.84,0.0810002847674987
"170",0.845,0.0822961737445692
"171",0.85,0.0835075860796833
"172",0.855,0.0847156521174626
"173",0.86,0.0860005945217773
"174",0.865,0.0872018203846781
"175",0.87,0.0884795198379572
"176",0.875,0.08967400453567
"177",0.88,0.0909445649327441
"178",0.885,0.0922114802184578
"179",0.89,0.0933959262475059
"180",0.895,0.0946558537764929
"181",0.9,0.0959122124457701
"182",0.905,0.0971650274116058
"183",0.91,0.0984143234408634
"184",0.915,0.0996601249212189
"185",0.92,0.100902455870992
"186",0.925,0.102141339948613
"187",0.93,0.103376800461737
"188",0.935,0.104608860376031
"189",0.94,0.105914223297232
"190",0.945,0.107139340589575
"191",0.95,0.108361125575317
"192",0.955,0.10965564512635
"193",0.96,0.110870625299719
"194",0.965,0.112157962637121
"195",0.97,0.11336622752976
"196",0.975,0.114646476440163
"197",0.98,0.115923109486936
"198",0.985,0.117121364771814
"199",0.99,0.118391046600898
"200",0.995,0.11965718179622
"201",1,0.120919793258849
