"","SAR","case"
"1",1e-06,9.99842514091132e-05
"2",0.005,9.99842514091132e-05
"3",0.01,9.99842514091132e-05
"4",0.015,9.99842514091132e-05
"5",0.02,9.99842514091132e-05
"6",0.025,9.99842514091132e-05
"7",0.03,9.99842514091132e-05
"8",0.035,9.99842514091132e-05
"9",0.04,9.99842514091132e-05
"10",0.045,9.99842514091132e-05
"11",0.05,9.99842514091132e-05
"12",0.055,9.99842514091132e-05
"13",0.06,9.99842514091132e-05
"14",0.065,9.99842514091132e-05
"15",0.07,9.99842514091132e-05
"16",0.075,9.99842514091132e-05
"17",0.08,9.99842514091132e-05
"18",0.085,9.99842514091132e-05
"19",0.09,9.99842514091132e-05
"20",0.095,9.99842514091132e-05
"21",0.1,9.99842514091132e-05
"22",0.105,9.99842514091132e-05
"23",0.11,9.99842514091132e-05
"24",0.115,9.99842514091132e-05
"25",0.12,9.99842514091132e-05
"26",0.125,9.99842514091132e-05
"27",0.13,9.99842514091132e-05
"28",0.135,9.99842514091132e-05
"29",0.14,9.99842514091132e-05
"30",0.145,9.99842514091132e-05
"31",0.15,9.99842514091132e-05
"32",0.155,9.99842514091132e-05
"33",0.16,9.99842514091132e-05
"34",0.165,9.99842514091132e-05
"35",0.17,9.99842514091132e-05
"36",0.175,9.99842514091132e-05
"37",0.18,9.99842514091132e-05
"38",0.185,9.99842514091132e-05
"39",0.19,9.99842514091132e-05
"40",0.195,9.99842514091132e-05
"41",0.2,9.99842514091132e-05
"42",0.205,9.99842514091132e-05
"43",0.21,9.99842514091132e-05
"44",0.215,9.99842514091132e-05
"45",0.22,9.99842514091132e-05
"46",0.225,9.99842514091132e-05
"47",0.23,9.99842514091132e-05
"48",0.235,9.99842514091132e-05
"49",0.24,9.99842514091132e-05
"50",0.245,9.99842514091132e-05
"51",0.25,9.99842514091132e-05
"52",0.255,9.99842514091132e-05
"53",0.26,9.99842514091132e-05
"54",0.265,9.99842514091132e-05
"55",0.27,9.99842514091132e-05
"56",0.275,9.99842514091132e-05
"57",0.28,9.99842514091132e-05
"58",0.285,9.99842514091132e-05
"59",0.29,9.99842514091132e-05
"60",0.295,9.99842514091132e-05
"61",0.3,9.99842514091132e-05
"62",0.305,9.99842514091132e-05
"63",0.31,9.99842514091132e-05
"64",0.315,0.000798997704307913
"65",0.32,0.00199379249402742
"66",0.325,0.00318424518749183
"67",0.33,0.00437045689039417
"68",0.335,0.00574913179393044
"69",0.34,0.00702438763821966
"70",0.345,0.00839253118604089
"71",0.35,0.00985252821119564
"72",0.355,0.0113065755989107
"73",0.36,0.0128511343359609
"74",0.365,0.0143891911871195
"75",0.37,0.015920870975535
"76",0.375,0.017541424448781
"77",0.38,0.0191550436036466
"78",0.385,0.0207618533927849
"79",0.39,0.0224558907455671
"80",0.395,0.0241425595975674
"81",0.4,0.0259150777313507
"82",0.405,0.0276796674847946
"83",0.41,0.0294364629570774
"84",0.415,0.0311855919541474
"85",0.42,0.0330186321265128
"86",0.425,0.0348434488336444
"87",0.43,0.0366601721868282
"88",0.435,0.0385591575426718
"89",0.44,0.0404494956361861
"90",0.445,0.0423313190846287
"91",0.45,0.0442047552458523
"92",0.455,0.0461585401476998
"93",0.46,0.0481033897903181
"94",0.465,0.0500394345322761
"95",0.47,0.0519667999678426
"96",0.475,0.0539726243121134
"97",0.48,0.0559692282976115
"98",0.485,0.0579567407916358
"99",0.49,0.0599352862727149
"100",0.495,0.0619904253040071
"101",0.5,0.0640360638765453
"102",0.505,0.0659876709646713
"103",0.51,0.0680993471211647
"104",0.515,0.0701172355251256
"105",0.52,0.0722096206229436
"106",0.525,0.0742092282949794
"107",0.53,0.0762828120681756
"108",0.535,0.0783469827397204
"109",0.54,0.0804838600884863
"110",0.545,0.0825291859327862
"111",0.55,0.0846467061282002
"112",0.555,0.0867545377552622
"113",0.56,0.0888527977719906
"114",0.565,0.090941599960474
"115",0.57,0.0931008489239502
"116",0.575,0.0951707115827185
"117",0.58,0.0973105221175511
"118",0.585,0.0994406012439945
"119",0.59,0.101561060592657
"120",0.595,0.103750010999237
"121",0.6,0.105851208245335
"122",0.605,0.108020408549485
"123",0.61,0.110179722482118
"124",0.615,0.112329259890028
"125",0.62,0.114469127993874
"126",0.625,0.116599431493126
"127",0.63,0.118795843249074
"128",0.635,0.120906989491618
"129",0.64,0.123083771753966
"130",0.645,0.125250725485777
"131",0.65,0.127407954336145
"132",0.655,0.129555559658541
"133",0.66,0.131767198827327
"134",0.665,0.133895529011925
"135",0.67,0.136087433749815
"136",0.675,0.138269457622308
"137",0.68,0.140441701254694
"138",0.685,0.142604263160749
"139",0.69,0.144757239815676
"140",0.695,0.146900725725484
"141",0.7,0.149105788959596
"142",0.705,0.151300917167216
"143",0.71,0.153415867719276
"144",0.715,0.15559173090615
"145",0.72,0.157757944492418
"146",0.725,0.159984012398984
"147",0.73,0.162130898478563
"148",0.735,0.164337206758716
"149",0.74,0.166465132532266
"150",0.745,0.168652053007031
"151",0.75,0.170829263655797
"152",0.755,0.172996855113901
"153",0.76,0.175154916344967
"154",0.765,0.177370527798191
"155",0.77,0.179509497982518
"156",0.775,0.181705602552759
"157",0.78,0.18382582911718
"158",0.785,0.186002778682024
"159",0.79,0.188170134117778
"160",0.795,0.190327981412723
"161",0.8,0.192541362580962
"162",0.805,0.19468016386221
"163",0.81,0.196809708627716
"164",0.815,0.198994188276113
"165",0.82,0.201169013310859
"166",0.825,0.203334268524834
"167",0.83,0.205490037288551
"168",0.835,0.207636401588408
"169",0.84,0.209773442063493
"170",0.845,0.21196368113109
"171",0.85,0.214082042227876
"172",0.855,0.216253216591187
"173",0.86,0.218414843533072
"174",0.865,0.220567004129682
"175",0.87,0.222709778165226
"176",0.875,0.224843244164768
"177",0.88,0.226967479425862
"178",0.885,0.229142857154199
"179",0.89,0.231248599742125
"180",0.895,0.2334051137566
"181",0.9,0.235552181133547
"182",0.905,0.237689879701232
"183",0.91,0.239818286104634
"184",0.915,0.241937475833932
"185",0.92,0.244106005886079
"186",0.925,0.246206733372621
"187",0.93,0.248356441960996
"188",0.935,0.250439003936041
"189",0.94,0.252570191538418
"190",0.945,0.254692103749838
"191",0.95,0.256804814433864
"192",0.955,0.258965123933913
"193",0.96,0.261059405115663
"194",0.965,0.263200937295073
"195",0.97,0.265277079530971
"196",0.975,0.26740012854199
"197",0.98,0.269513922382806
"198",0.985,0.271618533411793
"199",0.99,0.273714032975203
"200",0.995,0.275800491429334
"201",1,0.277932528336333
