"","SAR","Infections","Reff_1"
"2697",1.98917110302345,0.209145863911227,0.0502721962168085
"2698",1.98991126593945,0.209208657769554,0.0502534970838459
"2699",1.99065155953832,0.209271443612948,0.0502348085584562
"2700",1.99139198384488,0.209334221443419,0.0502161306318633
"2701",1.99213253888392,0.209396991262975,0.0501974632953007
"2702",1.99287322468024,0.209459753073625,0.0501788065400121
"2703",1.99361404125863,0.209522506877376,0.0501601603572509
"2704",1.99435498864388,0.209585252676233,0.0501415247382803
"2705",1.99509606686078,0.209647990472202,0.0501228996743735
"2706",1.9958372759341,0.209710720267288,0.0501042851568135
"2707",1.99657861588863,0.209773442063493,0.0500856811768928
"2708",1.99732008674914,0.20983615586282,0.0500670877259142
"2709",1.99806168854041,0.20989886166727,0.0500485047951899
"2710",1.9988034212872,0.209961559478844,0.050029932376042
"2711",1.99954528501428,0.210024249299541,0.0500113704598023
"2712",2.0002872797464,0.210086931131359,0.0499928190378124
"2713",2.00102940550834,0.210149604976296,0.0499742781014236
"2714",2.00177166232483,0.210212270836349,0.0499557476419969
"2715",2.00251405022064,0.210274928713513,0.049937227650903
"2716",2.00325656922051,0.210337578609783,0.0499187181195223
"2717",2.00399921934919,0.210400220527153,0.0499002190392448
"2718",2.00474200063141,0.210462854467615,0.0498817304014703
"2719",2.00548491309191,0.210525480433162,0.049863252197608
"2720",2.00622795675544,0.210588098425783,0.049844784419077
"2721",2.00697113164671,0.21065070844747,0.0498263270573057
"2722",2.00771443779046,0.210713310500211,0.0498078801037325
"2723",2.00845787521141,0.210775904585994,0.0497894435498051
"2724",2.00920144393428,0.210838490706806,0.0497710173869807
"2725",2.0099451439838,0.210901068864634,0.0497526016067263
"2726",2.01068897538466,0.210963639061463,0.0497341962005183
"2727",2.0114329381616,0.211026201299276,0.0497158011598427
"2728",2.0121770323393,0.211088755580057,0.0496974164761949
"2729",2.01292125794248,0.211151301905789,0.0496790421410799
"2730",2.01366561499583,0.211213840278454,0.0496606781460123
"2731",2.01441010352407,0.21127637070003,0.0496423244825158
"2732",2.01515472355187,0.211338893172499,0.049623981142124
"2733",2.01589947510393,0.211401407697839,0.0496056481163796
"2734",2.01664435820494,0.211463914278027,0.049587325396835
"2735",2.01738937287959,0.21152641291504,0.0495690129750519
"2736",2.01813451915255,0.211588903610855,0.0495507108426013
"2737",2.0188797970485,0.211651386367445,0.0495324189910638
"2738",2.01962520659212,0.211713861186785,0.0495141374120293
"2739",2.02037074780807,0.211776328070848,0.0494958660970969
"2740",2.02111642072104,0.211838787021606,0.0494776050378754
"2741",2.02186222535568,0.21190123804103,0.0494593542259826
"2742",2.02260816173665,0.21196368113109,0.0494411136530459
"2743",2.02335422988862,0.212026116293756,0.0494228833107017
"2744",2.02410042983624,0.212088543530996,0.049404663190596
"2745",2.02484676160416,0.212150962844778,0.049386453284384
"2746",2.02559322521703,0.212213374237067,0.0493682535837301
"2747",2.0263398206995,0.212275777709829,0.049350064080308
"2748",2.02708654807621,0.21233817326503,0.0493318847658007
"2749",2.02783340737179,0.212400560904632,0.0493137156319002
"2750",2.0285803986109,0.212462940630599,0.0492955566703082
"2751",2.02932752181816,0.212525312444893,0.049277407872735
"2752",2.0300747770182,0.212587676349474,0.0492592692309007
"2753",2.03082216423565,0.212650032346302,0.049241140736534
"2754",2.03156968349513,0.212712380437336,0.0492230223813733
"2755",2.03231733482126,0.212774720624535,0.0492049141571658
"2756",2.03306511823867,0.212837052909856,0.0491868160556679
"2757",2.03381303377196,0.212899377295255,0.0491687280686453
"2758",2.03456108144575,0.212961693782688,0.0491506501878726
"2759",2.03530926128466,0.213024002374109,0.0491325824051336
"2760",2.03605757331327,0.213086303071471,0.0491145247122213
"2761",2.0368060175562,0.213148595876728,0.0490964771009376
"2762",2.03755459403805,0.21321088079183,0.0490784395630936
"2763",2.03830330278341,0.21327315781873,0.0490604120905092
"2764",2.03905214381688,0.213335426959376,0.0490423946750137
"2765",2.03980111716304,0.213397688215717,0.0490243873084452
"2766",2.04055022284649,0.213459941589702,0.0490063899826508
"2767",2.04129946089181,0.213522187083278,0.0489884026894867
"2768",2.04204883132358,0.213584424698392,0.0489704254208181
"2769",2.04279833416637,0.213646654436987,0.0489524581685191
"2770",2.04354796944478,0.213708876301009,0.0489345009244728
"2771",2.04429773718336,0.213771090292402,0.0489165536805712
"2772",2.04504763740669,0.213833296413107,0.0488986164287153
"2773",2.04579767013933,0.213895494665067,0.048880689160815
"2774",2.04654783540585,0.213957685050222,0.048862771868789
